SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Request for Quotation,Goods,,"Important Notice for this Opportunity
The Regional Municipality of Wood Buffalo (RMWB) has moved to a fully-integrated online eProcurement Tool bid&tendersTM which allows vendors to view, register and submit bids entirely online in one quick, easy and convenient location.  The Municipality’s transition is being completed in two phases. 
Phase 1  
•	The Bid document(s) for this opportunity has been posted on https://rmwb.bidsandtenders.ca for viewing and downloading.
•	Submissions of bids will continue to be accepted as outlined in the RFP, Part 1.5.3.  
Phase 2 (to be launched at a later date)
•	Submission of bids will be done online only through our eProcurement bid&tendersTM.
There are no fees or charges for accessing or downloading RMWB Opportunities on bid&tendersTM.
The following are requirements of this opportunity:
1.	All Bidders shall have a Bidding System Vendor account and be registered as a Plan Taker for this Bid opportunity, which will enable the Bidder to download the Bid Call Document, to receive Addenda email notifications and download all documents without the watermark “preview” on them.

Bidders interested in this opportunity are invited to create a free Bidding System Vendor account at https://rmwb.bidsandtenders.ca and click on the “Create Account” button.  To register as a Plan Taker, click on the “Register for this Bid” button.

The Opportunity can however be previewed with a watermark on it (only PDF’s), without creating an account.

The links provided below provide a guide on how to create a Vendor account. https://bidsandtenders.zendesk.com/hc/en-us/articles/360001984031-How-do-I-create-an-account-with-%20%20%20%20%20%20bids-tenders- https://register.gotowebinar.com/recording/8673069059479882497

Please note that any Bid(s) received from a Bidder that did not register as a Plan Taker for this particular Bid will be disqualified from the Competition.

2.	Questions related to this bid are to be submitted to the Purchasing Representative through the Bidding System only, by clicking on the “Submit a Question” button for this specific bid opportunity.",2019-07-09T20:00:59,Deepthi,Anandakusumam,780-788-4315,780-799-8696,2019-06-25T23:08:15,2019-06-25T23:11:16,,RFQ-2019-11 Supply and Delivery of Mobile Data Terminals,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=472025D9-9F6D-485C-B77D-0E222688A19E,"D301A Computer and Data Processing Services  D316C Electronic Data Interchange (EDI) Services  JX7025DJ Terminals, Voice Data - Maintenance  JX7035AE Data Acquisition and Collection Equipment - Off Line, Maintenance  N5810400 Communications Security Equipment and Components (COMSEC) Secure Optical Data Systems  N7030ACB Computer Software, Data Base Management, Information Retrieval - Microcomputers Only  WR7025CG DATA COMMUNICATIONS EQUIPMENT, MILITARIZED/RUGGEDIZED - RENT",,472025d9-9f6d-485c-b77d-0e222688a19e,RFQ-2019-11,AB-2019-04047
Request for Proposal,Services,,"Rocky View County requires the hauling of roll-off bins (20, 30 and 40 cubic yard bins) containing recyclable materials from various locations in the County to pre-determined facilities for processing. The County also requires the successful contractor to provide service for nine (9) Agricultural Materials Recycling Round Ups throughout the year.",2019-07-08T20:00:00,Ann,Smith,403-520-8181,,2019-06-07T14:38:10,2019-06-07T15:06:14,"262075 Rocky View Point
Rocky View County, AB T4A 0X2",RFP 19-007 Recycling Hauling and Other Work,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=2EB50522-D27C-4D7B-BD7A-0E9A282C7817,E199A Waste Recycling Services  R019UB Professional Services / Waste Management Services  V401B Transportation,Please see RFP document for specifics.,2eb50522-d27c-4d7b-bd7a-0e9a282c7817,RFP 19-007,AB-2019-03750
Request for Proposal,Goods,,"The University of Alberta is inviting proposals for the supply and installation of a Multiphoton Imaging System for the Department of Physiology. This document contains references to specific equipment for descriptive purposes only.  This equipment is acceptable to the end user but should not be considered as the only acceptable equipment.

The objective of this RFP is to select the best Proposal that meets the desired specifications. It is the intent of the University to select a supplier that offers the best value solution and quality equipment to ensure the success of this project.  This purchase is being funded by the Canadian Foundation for Innovation.",2019-07-18T20:00:00,Cristelle,Martin,780-492-2738,,2019-06-12T17:21:03,2019-06-12T17:35:30,,CFI Multiphoton Imaging System,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B01AFCD3-84DD-4901-9F01-0F01782C09DD,"N6650F IMAGE ANALYSIS SYSTEMS  N6650K MICROSCOPE  N6650KD MICROSCOPE, LASER  N7025108 READERS, IMAGE SCANNER FOR DESK TOP PUBLISHING, ETC.",,b01afcd3-84dd-4901-9f01-0f01782c09dd,2019-0101,AB-2019-03821
Request for Quotation,Goods,,"Supply Only of Catholic Youth Bibles - 4th Edition for Edmonton Catholic School District for the 2019-2020 school year.

**ADDENDUM #1 ADDED - JUNE 26, 2019 - This shows ISBN number**",2019-07-05T20:00:00,Lisa,Wohlmuth,780-441-6175,,2019-06-25T17:45:17,2019-06-25T18:00:58,"Lumen Christi Catholic Education Services
9807-106 Street
Edmonton, AB
T5K 1C2
Attention: Q-2019-49 - Catholic Youth Bibles-4th Edition",Catholic Youth Bibles,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=E9C9FE7A-3AE2-4442-9C61-103B4A66F036,"N7610 Books and Pamphlets  N7610AA BOOKS, TEXT (ENGLISH) (EXCEPT PRINTING PRODUCTS PUBLICATIONS)  N7610D BOOKS (PRINTING PRODUCTS PUBLICATIONS)  N9310YK PAPER, BOOK  N9310YKD PAPER, BOOK (OFFSET)  T099AA Co-Publishing of Books","Submit two (2) hard copies signed and sealed of the bid documents.  Must be received NO later than 2:00 PM local Edmonton AB time.

Late bids, fax/email copies will be rejected and returned.",e9c9fe7a-3ae2-4442-9c61-103b4a66f036,Q-2019-49,AB-2019-04037
Request for Proposal,Services,,"RFP documents should be obtained from Bonfire at https://strathcona.bonfirehub.ca.

Refer to the attached Submission Instructions - 19.0095 

This Request for Proposals (the “RFP”) is an invitation by Strathcona County (“the County”) to prospective proponents to submit proposals for Transit Master Plan Follow-up Studies.
 
The County is seeking Proposals from experienced and qualified consulting service firms for the development of detailed plans for selected Transit Master Plan (TMP) recommendations. The intent of this RFP is to establish a Contract with one Successful Proponent.

These plans are intended to provide details required by the County’s annual and multi-year business planning and budgeting process. Public / stakeholder engagement will be part of the plan to ensure community’s input on proposed service changes and improvements.",2019-07-04T20:00:00,Murray,Reid,780 410-8506,,2019-06-05T20:05:23,2019-06-05T20:11:32,Refer to the attached Submission Instructions - 19.0095,RFP# 19.0095 Transit Master Plan Follow-up Studies,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=933F87A1-F80B-492B-8F79-10C6F51B5EAB,R019F Consulting Services,Refer to the attached Submission Instructions - 19.0095,933f87a1-f80b-492b-8f79-10c6f51b5eab,19.0095,AB-2019-03707
Request for Pre-Qualification,Services,,"Red Deer County (the County) is accepting Statement of Qualification submissions from contractors that are interested in pre-qualifying for the provision of Bridge Works including Standard Bridge Construction, Bridge-sized Culvert Installation and Bridge Repair/Maintenance
tendered in 2019, as well as Gravel Crushing.",2020-01-31T19:00:00,Tammy,Shott,4033428658,4033469840,2019-01-30T19:26:15,2019-01-30T19:28:32,same,Prequalification  for 2019 Bridge Construction/Maintenance and Gravel Crushing,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=20196E6A-9AE6-4142-B4E7-10D2051CAC97,"5132A Bridges, Elevated Highways, Tunnels, Subways and Railroads  5159A Rock, Stone Crushing Services  N5610LE Gravel, Road",,20196e6a-9ae6-4142-b4e7-10d2051cac97,RFPQ 03/19,AB-2019-00662
Request for Tender,Services,,"The intent of this Request for Tender is to obtain a formal offer from the Bidder (the “Tender”) to:
Supply and install cured in-place pipe (CIPP) and associated work.

A site meeting has been scheduled for 11:00 am local time on June 27, 2019 at the MPE Engineering Ltd. Office, #40, 1825 Bomford Crescent SW, Medicine Hat, Alberta. Your
contact for this site meeting is Patrick Boyd, (403) 548-8362.",2019-07-09T20:00:00,Don,Borrows,(403) 529-8238,(403) 525-8696,2019-06-20T15:53:16,2019-06-20T16:06:42,,2019 Storm Sewer CIPP Program,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=A8B97ED1-A6C3-4D40-AAB2-10F0B7DE3BA5,"N4710E Pipe, Sewer  N5630C Manholes, Concrete, Precast, Prestressed",,a8b97ed1-a6c3-4d40-aab2-10f0b7de3ba5,MW19-84,AB-2019-03960
Request for Proposal,Services,Contacting out the Grader work in Red Earth Creek,Contracting out the Grader work in Red earth Creek which includes approximately +- 20 KM of gravel roads.,2019-07-10T16:00:00,Kimball,Newberry,(780)891-3815,(780)891-4284,2019-06-21T17:35:28,2019-06-21T17:54:47,"M.D. of Opportunity #17
2077 Mistassiniy Road
Box 60
Wabasca, AB
T0G-2K0",Red Earth Creek Grader Contract,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B023C4BD-7847-41A9-B5DC-1100AC57FEF3,"5181A Construction Equipment Rental, with Operator  N3805 Earthmoving and Excavating Equipment  N3805D Graders, Road, Motorized",Responses will be accepted till 10:00:00 on July 10th. They will be opened during the council meeting at 11:00. Emailed or fax responses will not be accepted.,b023c4bd-7847-41a9-b5dc-1100ac57fef3,RFP 07-15-2019,AB-2019-03990
Invitation to Bid,Construction,,"Edmonton Catholic Separate School District No. 7 (hereafter called “ECSD”) invites you to submit a bid for the above-mentioned
project. Bids must be executed on document 00 41 13 STIPULATED PRICE BID AND CONTRACT FORM.",2019-07-05T20:00:59,Jason,Kalirai,780-441-6053,,2019-06-18T21:02:58,2019-06-21T19:48:22,"Lumen Christi Catholic Education Centre
9807 106 St NW, Edmonton, AB T5K 1C2",Q-2019-44 Archbishop O'Leary Sanitary Drainage Replacement,Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=DDCDB244-0151-4FA5-BD45-11E44EBF09C3,"5112B Demolition Work  5127B Construction of Educational Buildings  5133B Irrigation and Flood Control  5133D Sewers/ Drainage  5159B Other Special Trade Construction Work  N4710E Pipe, Sewer  N5520 Millwork  N5640A Asbestos",Please review bid package,ddcdb244-0151-4fa5-bd45-11e44ebf09c3,Q-2019-44 Archbishop O'Leary Sanitary Drainage Replacement,AB-2019-03927
Request for Information,Goods,,This Request for Information (“RFI”) is issued by the City of Red Deer (“the City”) for the purposes of gathering information about the marketplace in order to assist in the determination of future purchasing options for Real Time Traffic Signal Adaptive Systems,2019-08-01T22:00:59,Asha,Goda,403-342-8273,,2019-06-21T20:11:28,2019-06-21T20:20:00,"Electronic Bid Submission only, shall be received by the Bidding System, no later than 4:00:59 ( Alberta Time ) on August 01,2019",Real Time Traffic Signal Adaptive Systems,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=39825771-EC3F-48E9-9947-12E7414AD915,N6310 Traffic and Transit Signal Systems  N6310301 Traffic and Transit Signal Systems and Counters  N6310999 Traffic and Transit Signal Systems and Counters Components and Spares  WL6310 TRAFFIC AND TRANSIT SIGNAL SYSTEMS - LEASING  WR6310 TRAFFIC AND TRANSIT SIGNAL SYSTEMS - RENTAL,"Information must be received by the submission deadline outlined above, electronically, through the Bidding System. The closing time and date shall be determined by the Bidding System’s web clock. Late submissions are not permitted by the Bidding System.

Respondents are cautioned that the timing of the RFI submission is based on when the Quote is received by the Bidding System, not when a response is submitted by a Respondent, as response transmission can be delayed due to file transfer size, transmission speed, etc. For these reasons, it is recommended that Respondent allow sufficient time to upload their Submission and attachment(s) (if applicable) and to resolve any issues that may arise. 

The City will not accept submission by fax, email or hard copy.",39825771-ec3f-48e9-9947-12e7414ad915,RFI- 2019-72,AB-2019-03997
Request for Proposal,Goods,".1	This Request for Proposal (“RFP”) identifies a business opportunity for the successful Proponent(s) to supply and deliver Air Filters for Heat Pump units to Red Deer Public School District (RDPSD) schools, in accordance with the ‘Requirements’ as described in Appendix A – Requirements.","This Request for Proposal (“RFP”) identifies a business opportunity for the successful Proponent(s) to supply and deliver Air Filters for Heat Pump units to Red Deer Public School District (RDPSD) schools, in accordance with the ‘Requirements’ as described in Appendix A – Requirements.
The agreement will come into effect on the first day of award, and shall remain in effect for three years, with a two (2) year option to extend.
Prices for product described in Appendix A must be fixed for the period of the contract. (See fee proposal Mandatory Requirements section for details.)",2019-07-09T21:00:00,Michele,Skinner,403-342-3742,403-347-8190,2019-06-25T14:55:40,2019-06-25T14:58:07,"4747-53 Street
Red Deer, AB
T4N 2E6",Supply and Delivery of Air Filters for Heat Pump units,Alberta,Open,NWPTA/TILMA & CETA & WTO GPA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=5DE950BC-6EFA-46F7-A722-13265832DE07,"N2945AAH Air Filters  N4130HA Filters, Air (Industrial)  N4130HB Filters, Air, Re-Usable  N4130HC Filters, Air, Disposable","Michele Skinner
RFP 2019-25 
Supply and Delivery of
Air Filters for Heat Pump units",5de950bc-6efa-46f7-a722-13265832de07,2019 - 25,AB-2019-04030
Request for Proposal,Services,"Seeking proposals for the preparation of a Regional Business Park Feasibility Study.
Services required include: Background research, Site Analysis, creation of an Industrial Land strategy.","Seeking proposals for the preparation of a Regional Business Park Feasibility Study. The document is to provide both Whitecourt and Woodlands County with essential information necessary to meet the needs of
current and future industry in the area and provide direction in regards to possible locations for a
future business park. 
Services required include: background research, site analysis, creation of an industrial land strategy.",2019-08-02T18:00:00,Jennine,Loberg,780-778-2273,780-778-2062,2019-06-13T20:02:05,2019-06-13T20:16:20,"Town of Whitecourt
Planning and Development Department
Box 509
5004 – 52 Avenue
Whitecourt, AB T7S 1N6",Regional Business Park Feasibility Study,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=4DEC97E8-8746-4DC6-A441-13C74B8DBDE2,B302A Feasibility Studies/Needs Analysis  B509A Land Use Studies  R019U Professional Services / Program Research Analysis  T002AK Research and Writing,"Written proposals must be received at: 

Town of Whitecourt
Planning and Development Department
Box 509
5004 – 52 Avenue
Whitecourt, AB T7S 1N6
Prior to 12:00 Noon, Friday, August 2, 2019",4dec97e8-8746-4dc6-a441-13c74b8dbde2,Whitecourt Feasibility Study 06-2019,AB-2019-03847
Notice of Intent,Goods,The City of Lloydminster wishes to communicate its Notice of Participation with Sourcewell Cooperative Purchasing.,This Notice of Participation with RMA/Sourcewell Cooperative Purchasing is intended to inform potential suppliers of our participation with buying groups and that the opportunity to provide goods/services to the City of Lloydminster is available through these programs.,2019-12-31T09:00:00,Mika,Wangler,(780)875-6184,,2019-04-16T15:41:32,2019-04-16T19:52:35,"City of Lloydminster
Planning and Engineering
4420-50 Avenue
Lloydminster, AB/SK  T9V 0W2",City of Lloydminster Notice of Buying Group Participation in Sourcewell,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=89F374CA-647D-4BFB-9095-13E990B6DFFB,"N2320GAA Cab and Chassis, Gasoline Powered - GATT","This is an annual notice of participation of Procurement Services in the Sourcewell Cooperative Purchasing Group.
This group performs procurements for several commodities and services.
Interested Vendors can find opportunities for this buying group posted on the Alberta Purchasing Connection (www.purchasingconnection.ca), as well as the Sourcewell Buying Group's website (www.sourcewell-mn.gov). Specifically vendors can create an account on the following page: https://proportal.sourcewell-mn.gov/Module/Tenders/en and https://rmalberta.com/.",89f374ca-647d-4bfb-9095-13e990b6dffb,COLNOI 2019-01,AB-2019-02631
